LOC Evaluation for OrcaXCare (WDP301),,,,,,,,,,,,,
Columns A–K: # through LOC (subtasks). B = Parent epic id (1–35). H = Sprint (1–4).,,,,,,,,,,,,,
"Teacher fills columns L–N (Code Demo Comments, Complexity, Quality); pivot by In Charge for LOC totals.",,,,,,,,,,,,,
#,Parent,Screen / Function,Feature,Screen/Function Description,In Charge,Status,Sprint,SRS,SDS,LOC,Code Demo Comments,Complexity,Quality
11,4,Portal + API,Login + JWT issue,Compare hash; sign access token; optional refresh stub.,TruongNTCE180140,To Do,2,SRS §,SDS §,55,Medium: Postman returns Bearer token.,Medium,
12,4,Portal + API,Client login/register UI,"Forms, client validation, store token, redirect by role.",TruongNTCE180140,To Do,2,SRS §,SDS §,40,Medium: Short screen capture of flow.,Medium,
13,5,Portal — Find doctor,Doctor search API,"Filters: name, specialty, branch; pagination.",TruongNTCE180140,To Do,3,SRS §,SDS §,35,Medium: curl/Postman sample queries.,Medium,
14,5,Portal — Find doctor,Symptom / keyword index,Regex or text index for hints; debounced suggest endpoint.,TruongNTCE180140,To Do,3,SRS §,SDS §,40,Medium: Typeahead demo.,Medium,
15,5,Portal — Find doctor,Patient portal search page,List + filters UI wired to API.,TruongNTCE180140,To Do,3,SRS §,SDS §,25,Simple: UI matches wireframe.,Standard,
16,6,Portal — Profile,Profile GET/PATCH API,Own-profile only; partial updates.,TruongNTCE180140,To Do,2,SRS §,SDS §,35,Medium: 403 for other users’ ids.,Medium,
17,6,Portal — Profile,Avatar upload,Multipart or URL field; size/type validation.,TruongNTCE180140,To Do,2,SRS §,SDS §,30,Medium: Avatar updates in header.,Medium,
18,6,Portal — Profile,Profile form UI,React form + schema validation + success toast.,TruongNTCE180140,To Do,2,SRS §,SDS §,25,Simple: Validated form demo.,Standard,
19,7,Payments,Payment provider config,MoMo/VNPay sandbox keys; create payment request DTO.,TanhNTCE182341,To Do,4,SRS §,SDS §,80,Complex: Sandbox intent created.,High,
20,7,Payments,Callback / webhook handler,Verify signature; idempotent update booking/wallet.,TanhNTCE182341,To Do,4,SRS §,SDS §,80,Complex: Replay callback once safely.,High,
21,7,Payments,Payment UI + test path,Redirect or QR step; show success/failure.,TanhNTCE182341,To Do,4,SRS §,SDS §,60,Complex: One successful sandbox transaction.,High,
22,8,Wallet + API,Wallet model & invariants,Balance field; non-negative rule at schema/service.,TanhNTCE182341,To Do,4,SRS §,SDS §,70,Complex: Unit: cannot go below zero.,High,
23,8,Wallet + API,Credit/debit operations,Mongo transaction or equivalent; audit lines.,TanhNTCE182341,To Do,4,SRS §,SDS §,70,Complex: Concurrent debits handled.,High,
24,8,Wallet + API,Wallet UI + API wiring,Show balance; list last movements on dashboard.,TanhNTCE182341,To Do,4,SRS §,SDS §,40,Medium: UI matches balance after op.,Medium,
25,9,Portal — Health insurance,Insurance card CRUD,"Store policy number, dates, coverage percent.",TanhNTCE182341,To Do,4,SRS §,SDS §,55,Medium: Create + read card.,Medium,
26,9,Portal — Health insurance,OCR hook (optional),Upload image URL; stub or external OCR parse.,TanhNTCE182341,To Do,4,SRS §,SDS §,55,Medium: Parsed fields editable.,Medium,
27,9,Portal — Health insurance,Billing discount rule,Apply coverage when quoting booking price.,TanhNTCE182341,To Do,4,SRS §,SDS §,50,Medium: With/without insurance cases.,Medium,
28,10,Portal — History,Transactions list API,"Paging, sort by date desc.",TanhNTCE182341,To Do,4,SRS §,SDS §,40,Medium: Page 2 works.,Medium,
29,10,Portal — History,Filters,"By date range and type (top-up, payment, refund).",TanhNTCE182341,To Do,4,SRS §,SDS §,40,Medium: Filtered JSON.,Medium,
30,10,Portal — History,Portal history view,Table + optional CSV export button.,TanhNTCE182341,To Do,4,SRS §,SDS §,30,Medium: Export optional.,Medium,
31,11,Booking + Wallet,Cancel policy engine,Deadline rules per appointment type.,TanhNTCE182341,To Do,4,SRS §,SDS §,45,Medium: Unit tests inside/outside window.,Medium,
32,11,Booking + Wallet,Wallet refund credit,Atomic credit linked to cancellation reason.,TanhNTCE182341,To Do,4,SRS §,SDS §,45,Medium: Balance increases correctly.,Medium,
33,11,Booking + Wallet,Cancel UI flows,Patient cancels; shows refund message.,TanhNTCE182341,To Do,4,SRS §,SDS §,40,Medium: Two demo cases.,Medium,
34,12,Server — RBAC,Permission matrix constants,Role → allowed actions map in code.,TanhNTCE182341,To Do,2,SRS §,SDS §,35,Simple: Table in README or MD.,Standard,
35,12,Server — RBAC,requireRole middleware,Composable guards for routes.,TanhNTCE182341,To Do,2,SRS §,SDS §,40,Medium: 403 on wrong role.,Medium,
36,12,Server — RBAC,Resource ownership checks,EMR/stock examples; tests for happy/deny.,TanhNTCE182341,To Do,2,SRS §,SDS §,25,Simple: Matrix demo.,Standard,
37,13,Doctor — EMR,Encounter CRUD,Create/list encounters by patient; link appointment.,ThangNDCE180608,To Do,4,SRS §,SDS §,90,Complex: Three encounters in DB.,High,
38,13,Doctor — EMR,Diagnosis entries,Add DX per encounter; ICD ref optional.,ThangNDCE180608,To Do,4,SRS §,SDS §,90,Complex: Timeline sorted by date.,High,
39,13,Doctor — EMR,Doctor EMR UI,Timeline + patient search + encounter detail panel.,ThangNDCE180608,To Do,4,SRS §,SDS §,60,Complex: Click-through demo.,High,
40,14,Admin — Stock,Stock & movement models,"Medicine SKU, quantity, batch/expiry fields.",ThangNDCE180608,To Do,4,SRS §,SDS §,70,Complex: Models in Mongoose.,High,
41,14,Admin — Stock,Inbound/outbound flows,Adjust stock; link outbound to prescription later.,ThangNDCE180608,To Do,4,SRS §,SDS §,70,Complex: Stock delta correct.,High,
42,14,Admin — Stock,Admin stock table + alerts,Low stock + near-expiry highlight.,ThangNDCE180608,To Do,4,SRS §,SDS §,60,Complex: Table screenshot.,High,
43,15,Admin — Staff,Doctor profile API,CRUD; link department & specialties.,ThangNDCE180608,To Do,3,SRS §,SDS §,55,Medium: Create doctor via API.,Medium,
44,15,Admin — Staff,Department/specialty linkage,Many-to-many or refs as per ERD.,ThangNDCE180608,To Do,3,SRS §,SDS §,55,Medium: Filters use relations.,Medium,
45,15,Admin — Staff,Admin staff management UI,Table + modal forms.,ThangNDCE180608,To Do,3,SRS §,SDS §,50,Medium: CRUD demo video.,Medium,
46,16,Doctor — Imaging,Cloudinary config,Env keys; secure upload preset.,ThangNDCE180608,To Do,4,SRS §,SDS §,50,Medium: Upload returns URL.,Medium,
47,16,Doctor — Imaging,Media linked to encounter,Store metadata; patient/doctor ACL.,ThangNDCE180608,To Do,4,SRS §,SDS §,50,Medium: Image tied to visit.,Medium,
48,16,Doctor — Imaging,Imaging gallery UI,Thumbnails; lightbox.,ThangNDCE180608,To Do,4,SRS §,SDS §,40,Medium: One X-ray uploaded.,Medium,
49,17,Admin — Facilities,Clinic room model,Functional room types; equipment notes.,ThangNDCE180608,To Do,1,SRS §,SDS §,45,Simple: Rooms under branch.,Standard,
50,17,Admin — Facilities,Room REST API,List/create/update for admin.,ThangNDCE180608,To Do,1,SRS §,SDS §,40,Simple: Postman collection.,Standard,
51,17,Admin — Facilities,Admin room list UI,Simple list + optional floor diagram URL.,ThangNDCE180608,To Do,1,SRS §,SDS §,35,Simple: Room layout diagram.,Standard,
52,18,Admin — Catalog,ICD collection + search,Index code + title; text search.,ThangNDCE180608,To Do,3,SRS §,SDS §,35,Simple: Search returns top 10.,Standard,
53,18,Admin — Catalog,CSV import script,Bulk load sample ICD rows.,ThangNDCE180608,To Do,3,SRS §,SDS §,40,Simple: Import sample CSV.,Standard,
54,18,Admin — Catalog,Diagnosis autocomplete UI,Doctor form uses search endpoint.,ThangNDCE180608,To Do,3,SRS §,SDS §,25,Simple: Pick code from list.,Standard,
55,19,Portal — Booking,Booking wizard state,Steps: department → doctor → slot.,ThangDQCE182036,To Do,3,SRS §,SDS §,80,Complex: State machine or query params.,High,
56,19,Portal — Booking,Slot selection + summary,Show price/deposit if any before confirm.,ThangDQCE182036,To Do,3,SRS §,SDS §,80,Complex: Summary step screenshot.,High,
57,19,Portal — Booking,Confirm booking API call,POST booking; handle errors.,ThangDQCE182036,To Do,3,SRS §,SDS §,60,Complex: Screen recording full flow.,High,
58,20,API Booking,Concurrency guard,Unique index or transaction on slot+doctor.,ThangDQCE182036,To Do,3,SRS §,SDS §,45,Complex: 409 on double book.,High,
59,20,API Booking,Book API integration,Return clear error bodies.,ThangDQCE182036,To Do,3,SRS §,SDS §,40,Complex: Postman shows 409.,High,
60,20,API Booking,Parallel booking test,Two clients race for last seat.,ThangDQCE182036,To Do,3,SRS §,SDS §,35,Complex: Only one wins.,High,
61,21,Portal — Home,Featured blocks CMS or static,Services + doctors spotlight data.,ThangDQCE182036,To Do,3,SRS §,SDS §,45,Medium: Content visible on home.,Medium,
62,21,Portal — Home,Health news strip,Optional JSON or markdown list.,ThangDQCE182036,To Do,3,SRS §,SDS §,45,Medium: News cards render.,Medium,
63,21,Portal — Home,Responsive layout polish,Breakpoints; lazy images.,ThangDQCE182036,To Do,3,SRS §,SDS §,40,Medium: Mobile + desktop capture.,Medium,
64,22,Notifications,VAPID + subscription storage,Save endpoint + keys per user.,ThangDQCE182036,To Do,4,SRS §,SDS §,50,Medium: Row in DB after subscribe.,Medium,
65,22,Notifications,Server push sender,Helper to notify appointment reminder.,ThangDQCE182036,To Do,4,SRS §,SDS §,50,Medium: Trigger test push.,Medium,
66,22,Notifications,Client subscribe UX,Permission prompt; unsubscribe.,ThangDQCE182036,To Do,4,SRS §,SDS §,40,Medium: Chrome subscription demo.,Medium,
67,23,Portal — Review,Review model + uniqueness,One review per completed appointment.,ThangDQCE182036,To Do,4,SRS §,SDS §,35,Medium: 409 on duplicate.,Medium,
68,23,Portal — Review,Submit review API,Rating + comment validation.,ThangDQCE182036,To Do,4,SRS §,SDS §,35,Medium: API returns created review.,Medium,
69,23,Portal — Review,Post-visit review UI,Modal after checkout or email deep link.,ThangDQCE182036,To Do,4,SRS §,SDS §,30,Medium: One sample review.,Medium,
70,24,Portal — Favorites,Favorites API,Add/remove doctor for patient.,ThangDQCE182036,To Do,3,SRS §,SDS §,45,Simple: List returns favorites.,Standard,
71,24,Portal — Favorites,Favorites page UI,Shortcuts to book again.,ThangDQCE182036,To Do,3,SRS §,SDS §,35,Simple: Add/remove favorite.,Standard,
72,25,Admin — Reports,Revenue aggregation,Mongo pipeline by day/month/branch.,KhoaNNCE181612,To Do,4,SRS §,SDS §,70,Complex: JSON aggregates match seed.,High,
73,25,Admin — Reports,Chart.js dashboard,Bar/line for revenue trend.,KhoaNNCE181612,To Do,4,SRS §,SDS §,70,Complex: Monthly dashboard screenshot.,High,
74,25,Admin — Reports,Report filters,Date range + export trigger.,KhoaNNCE181612,To Do,4,SRS §,SDS §,40,Medium: Filter changes chart.,Medium,
75,26,Doctor — Prescriptions,HTML prescription template,Branding + table for meds/dosage.,KhoaNNCE181612,To Do,4,SRS §,SDS §,55,Complex: Preview in browser.,High,
76,26,Doctor — Prescriptions,PDF render service,Puppeteer/pdf-lib or server lib from encounter.,KhoaNNCE181612,To Do,4,SRS §,SDS §,55,Complex: Download PDF sample.,High,
77,26,Doctor — Prescriptions,Secure download route,Auth + short-lived token for PDF.,KhoaNNCE181612,To Do,4,SRS §,SDS §,50,Complex: Doctor can download own Rx.,High,
78,27,Portal + Kiosk,Signed QR payload,Encode visit/Rx id + checksum.,KhoaNNCE181612,To Do,4,SRS §,SDS §,35,Medium: QR renders on screen.,Medium,
79,27,Portal + Kiosk,Verify API / kiosk page,Scan flow validates signature.,KhoaNNCE181612,To Do,4,SRS §,SDS §,35,Medium: Valid vs tampered demo.,Medium,
80,27,Portal + Kiosk,Mobile scan UX,Camera opens; deep link optional.,KhoaNNCE181612,To Do,4,SRS §,SDS §,30,Medium: Phone camera demo.,Medium,
81,28,System — Email,SMTP transporter,Env-based config; HTML templates folder.,KhoaNNCE181612,To Do,4,SRS §,SDS §,45,Medium: Send test mail.,Medium,
82,28,System — Email,Template triggers,After visit: results; Rx; follow-up date.,KhoaNNCE181612,To Do,4,SRS §,SDS §,40,Medium: Correct template picked.,Medium,
83,28,System — Email,MailHog / log mode,Dev capture without real SMTP.,KhoaNNCE181612,To Do,4,SRS §,SDS §,35,Medium: MailHog inbox shows mail.,Medium,
84,29,Portal — Maps,Branch geo fields,lat/lng on clinic document.,KhoaNNCE181612,To Do,3,SRS §,SDS §,35,Medium: Map centers correctly.,Medium,
85,29,Portal — Maps,Maps embed component,Google/Mapbox embed + directions link.,KhoaNNCE181612,To Do,3,SRS §,SDS §,35,Medium: Directions open externally.,Medium,
86,29,Portal — Maps,Marker UX,Info window with hours/phone.,KhoaNNCE181612,To Do,3,SRS §,SDS §,30,Medium: One marker demo.,Medium,
87,30,Admin + Portal,Complaint ticket model,Statuses: new/in_progress/resolved.,KhoaNNCE181612,To Do,4,SRS §,SDS §,40,Simple: State transitions.,Standard,
88,30,Admin + Portal,Admin triage UI,Kanban or table by status.,KhoaNNCE181612,To Do,4,SRS §,SDS §,40,Simple: Admin updates status.,Standard,
89,30,Admin + Portal,Patient complaint form,Portal submit + list own tickets.,KhoaNNCE181612,To Do,4,SRS §,SDS §,30,Simple: Ticket workflow.,Standard,
90,31,Server — Quality,Shared validators,Zod/Joi schemas colocated with routes.,Team,To Do,1,SRS §,SDS §,50,Medium: Reused across modules.,Medium,
91,31,Server — Quality,Wire validators on routers,Central registration pattern.,Team,To Do,1,SRS §,SDS §,55,Medium: Invalid body 400.,Medium,
92,31,Server — Quality,400 demo collection,Postman examples for team.,Team,To Do,1,SRS §,SDS §,45,Medium: Example 400 body.,Medium,
93,32,Server — Quality,Error code enum + DTO,Consistent JSON error shape.,Team,To Do,1,SRS §,SDS §,30,Medium: Docs in README.,Medium,
94,32,Server — Quality,Global error middleware,Map errors to status; hide stack in prod.,Team,To Do,1,SRS §,SDS §,30,Medium: Prod vs dev behavior.,Medium,
95,32,Server — Quality,Postman error examples,Saved responses for common codes.,Team,To Do,1,SRS §,SDS §,20,Simple: Error shape demo.,Standard,
96,33,DevOps,Seed script content,"Departments, rooms, sample users, ICD sample.",Team,To Do,1,SRS §,SDS §,35,Simple: DB populated after run.,Standard,
97,33,DevOps,npm run seed wiring,package.json script + idempotent upserts.,Team,To Do,1,SRS §,SDS §,25,Simple: Second run no dup errors.,Standard,
98,34,Docs,OpenAPI or endpoint table,All main routes listed.,Team,To Do,1,SRS §,SDS §,25,Simple: File committed under docs/.,Standard,
99,34,Docs,README link,Single link to contract from root README.,Team,To Do,1,SRS §,SDS §,15,Simple: Link works on GitHub.,Standard,
100,35,QA,Supertest: health + 404,Smoke baseline.,Team,To Do,4,SRS §,SDS §,35,Medium: CI green on empty DB.,Medium,
101,35,QA,Supertest: auth + booking stub,Minimal happy path.,Team,To Do,4,SRS §,SDS §,40,Medium: Uses test DB.,Medium,
102,35,QA,CI workflow,GitHub Action runs tests on push.,Team,To Do,4,SRS §,SDS §,25,Medium: Badge optional.,Medium,
