#,Parent_ID,Screen_Function,Feature,Description,In_Charge,Status,Sprint,SRS,SDS,LOC,Code_Demo_Comments,Complexity,Quality
64,22,Notifications,VAPID + subscription storage,Save endpoint + keys per user.,ThangDQCE182036,To Do,4,SRS §,SDS §,50,Row in DB after subscribe.,Medium,
65,22,Notifications,Server push sender,Helper to notify appointment reminder.,ThangDQCE182036,To Do,4,SRS §,SDS §,50,Trigger test push.,Medium,
66,22,Notifications,Client subscribe UX,Permission prompt; unsubscribe.,ThangDQCE182036,To Do,4,SRS §,SDS §,40,Chrome subscription demo.,Medium,
67,23,Portal — Review,Review model + uniqueness,One review per completed appointment.,ThangDQCE182036,To Do,4,SRS §,SDS §,35,409 on duplicate.,Medium,
68,23,Portal — Review,Submit review API,Rating + comment validation.,ThangDQCE182036,To Do,4,SRS §,SDS §,35,API returns created review.,Medium,
69,23,Portal — Review,Post-visit review UI,Modal after checkout or email deep link.,ThangDQCE182036,To Do,4,SRS §,SDS §,30,One sample review.,Medium,
72,25,Admin — Reports,Revenue aggregation,Mongo pipeline by day/month/branch.,KhoaNNCE181612,To Do,4,SRS §,SDS §,70,JSON aggregates match seed.,High,
73,25,Admin — Reports,Chart.js dashboard,Bar/line for revenue trend.,KhoaNNCE181612,To Do,4,SRS §,SDS §,70,Monthly dashboard screenshot.,High,
74,25,Admin — Reports,Report filters,Date range + export trigger.,KhoaNNCE181612,To Do,4,SRS §,SDS §,40,Filter changes chart.,Medium,
75,26,Doctor — Prescriptions,HTML prescription template,Branding + table for meds/dosage.,KhoaNNCE181612,To Do,4,SRS §,SDS §,55,Preview in browser.,High,
76,26,Doctor — Prescriptions,PDF render service,Puppeteer/pdf-lib or server lib from encounter.,KhoaNNCE181612,To Do,4,SRS §,SDS §,55,Download PDF sample.,High,
77,26,Doctor — Prescriptions,Secure download route,Auth + short-lived token for PDF.,KhoaNNCE181612,To Do,4,SRS §,SDS §,50,Doctor can download own Rx.,High,
78,27,Portal + Kiosk,Signed QR payload,Encode visit/Rx id + checksum.,KhoaNNCE181612,To Do,4,SRS §,SDS §,35,QR renders on screen.,Medium,
79,27,Portal + Kiosk,Verify API / kiosk page,Scan flow validates signature.,KhoaNNCE181612,To Do,4,SRS §,SDS §,35,Valid vs tampered demo.,Medium,
80,27,Portal + Kiosk,Mobile scan UX,Camera opens; deep link optional.,KhoaNNCE181612,To Do,4,SRS §,SDS §,30,Phone camera demo.,Medium,
81,28,System — Email,SMTP transporter,Env-based config; HTML templates folder.,KhoaNNCE181612,To Do,4,SRS §,SDS §,45,Send test mail.,Medium,
82,28,System — Email,Template triggers,After visit: results; Rx; follow-up date.,KhoaNNCE181612,To Do,4,SRS §,SDS §,40,Correct template picked.,Medium,
83,28,System — Email,MailHog / log mode,Dev capture without real SMTP.,KhoaNNCE181612,To Do,4,SRS §,SDS §,35,MailHog inbox shows mail.,Medium,
87,30,Admin + Portal,Complaint ticket model,Statuses: new/in_progress/resolved.,KhoaNNCE181612,To Do,4,SRS §,SDS §,40,State transitions.,Standard,
88,30,Admin + Portal,Admin triage UI,Kanban or table by status.,KhoaNNCE181612,To Do,4,SRS §,SDS §,40,Admin updates status.,Standard,
89,30,Admin + Portal,Patient complaint form,Portal submit + list own tickets.,KhoaNNCE181612,To Do,4,SRS §,SDS §,30,Ticket workflow.,Standard,
100,35,QA,Supertest: health + 404,Smoke baseline.,Team,To Do,4,SRS §,SDS §,35,CI green on empty DB.,Medium,
101,35,QA,Supertest: auth + booking stub,Minimal happy path.,Team,To Do,4,SRS §,SDS §,40,Uses test DB.,Medium,
102,35,QA,CI workflow,GitHub Action runs tests on push.,Team,To Do,4,SRS §,SDS §,25,Badge optional.,Medium,
